心灵,33.17993872989303,neg,2,n
期间,31.77900620939178,neg,2,f
西溪,30.87839808390589,neg,2,ns
人事,29.594976229171877,neg,2,n
复杂,29.47870186147108,neg,2,a
直到,27.86014637934966,neg,2,v
宰客,27.27304813428452,neg,2,nr
保险,26.433136238404746,neg,2,n
迎来,25.83859896903048,neg,2,v
至少,25.105021416064616,neg,2,d
融资,25.09148586460598,neg,2,vn
或,24.48343281812743,neg,1,c
列,22.20695894382675,neg,1,v
存在,22.041049266517774,neg,2,v
价格调整,21.95735945136433,neg,4,l
和夫,21.95735945136433,neg,2,nz
落么,21.819855927614395,neg,2,v
振华,21.767036974958184,neg,2,nz
落落,21.613405050146966,neg,2,v
墨尔本,21.497927832727033,neg,3,ns
不了,21.409572942232003,neg,2,v
胸膛,21.37239695064317,neg,2,n
分枝,21.305282754784635,neg,2,n
体现,20.95696667547938,neg,2,v
练习场,20.497927832727033,neg,3,n
逛一逛,20.497927832727033,neg,3,v
倒地,20.17599973783967,neg,2,n
提拔,20.17599973783967,neg,2,v
人生,20.11139892572354,neg,2,n
低潮期,20.082890333448187,neg,3,n
闭店,20.082890333448187,neg,2,v
拿捏,20.082890333448187,neg,2,v
重用,19.983354659897277,neg,2,v
固执,19.912965332005875,neg,2,a
神佛,19.912965332005875,neg,2,n
经科,19.86049791211174,neg,2,n
Google,19.819855927614398,neg,6,eng
催熟,19.819855927614395,neg,2,v
悉尼,19.819855927614395,neg,2,ns
球场,19.72032025406348,neg,2,n
事项,19.702585203258472,neg,2,n
通过率,19.64993092617208,neg,3,n
总任务,19.63543135647697,neg,3,n
松坂,19.497927832727033,neg,2,ns
离谱,19.497927832727033,neg,2,n
酷热,19.497927832727033,neg,2,a
费率,19.497927832727033,neg,2,n
起起伏伏,19.497927832727033,neg,4,v
一厢情愿,19.497927832727033,neg,4,i
导航台,19.49792783272703,neg,3,n
嬉笑,19.328002831284717,neg,2,v
中潜层,19.30528275478464,neg,3,n
接待工作,19.234893426893237,neg,4,l
人浮于事,19.17599973783967,neg,4,l
缴存,19.175999737839668,neg,2,v
随手,19.150004529306724,neg,2,d
独栋,19.150004529306724,neg,2,nr
新一波,19.08289033344819,neg,3,nr
讲于,19.01250100555679,neg,2,v
玻璃房,19.01250100555679,neg,3,n
期货市场,18.983354659897277,neg,4,n
逊色,18.912965332005875,neg,2,n
潮水般,18.912965332005875,neg,3,l
美剧,18.86049791211174,neg,2,nt
必定,18.86049791211174,neg,2,d
不法行为,18.819855927614395,neg,4,l
王朔,18.819855927614395,neg,2,nr
装满,18.787434449922014,neg,2,v
失业,18.72032025406348,neg,2,n
恶劣行径,18.667852834169345,neg,4,l
证券市场,18.635431356476968,neg,4,n
亚布力,18.56736463012182,neg,3,nr
睿智,18.497927832727033,neg,2,a
休眠期,18.497927832727033,neg,3,t
砸碎,18.497927832727033,neg,2,v
爽脆,18.497927832727033,neg,2,a
隐痛,18.497927832727033,neg,2,a
预感,18.497927832727033,neg,2,n
初次见面,18.497927832727033,neg,4,d
凶猛,18.497927832727033,neg,2,a
柔滑,18.497927832727033,neg,2,a
闲下来,18.497927832727033,neg,3,l
球团,18.497927832727033,neg,2,n
西山,18.497927832727033,neg,2,ns
Storytellers,18.497927832727033,neg,12,eng
促成,18.49792783272703,neg,2,v
各庄,18.49792783272703,neg,2,r
瑞银,18.42753850483563,neg,2,j
千玺,18.313503261589606,neg,2,nr
小看,18.30528275478464,neg,2,v
不顾,18.234893426893237,neg,2,v
猎人,18.135357753342326,neg,2,n
涌向,18.135357753342323,neg,2,v
翻译,18.1194162094733,neg,2,v
飞行,18.01250100555679,neg,2,v
河风,18.003163140977456,neg,2,n
暂缓,17.912965332005875,neg,2,d
防腐剂,17.912965332005875,neg,3,nz
游人,17.912965332005875,neg,2,n
神女,17.912965332005875,neg,2,n
无处不在,17.912965332005875,neg,4,l
幻灭,17.912965332005875,neg,2,v
从南到北,17.912965332005875,neg,4,l
抵挡不住,17.912965332005875,neg,4,n
间谍,17.912965332005875,neg,2,n
起伏,17.912965332005875,neg,2,v
历史纪录,17.912965332005875,neg,4,n
居酒,17.86565961722752,neg,2,n
臭小子,17.86565961722752,neg,3,n
不规矩,17.819855927614395,neg,3,l
尽快,17.79497812796198,neg,2,d
渴求,17.787434449922014,neg,2,v
臃肿,17.760962238560825,neg,2,a
学佛,17.69057291066943,neg,2,n
法师,17.690572910669427,neg,2,n
回调,17.635431356476968,neg,2,v
玩电脑,17.631194363590495,neg,3,n
高低,17.565042028585566,neg,2,a
摇摇,17.54373152234016,neg,2,v
些小,17.54373152234016,neg,2,a
行径,17.497927832727033,neg,2,n
休整,17.497927832727033,neg,2,vn
不止一次,17.497927832727033,neg,4,l
归来,17.497927832727033,neg,2,v
比起,17.372396950643175,neg,2,v
关窗,17.37239695064317,neg,2,n
翻到,17.351086444397765,neg,2,v
习气,17.275535411390585,neg,2,n
其中,17.25819665584921,neg,2,r
制在,17.20842121553205,neg,2,v
操纵者,17.17599973783967,neg,3,n
挖山,17.128694023061314,neg,2,n
法语,17.10561040994827,neg,2,nz
付钱,17.003163140977456,neg,2,v
跨界,16.983354659897273,neg,2,n
没人管,16.958769021619,neg,3,l
往回,16.912965332005875,neg,2,t
简洁,16.912965332005875,neg,2,a
报导,16.912965332005875,neg,2,n
和谐社会,16.912965332005875,neg,4,l
本心,16.912965332005875,neg,2,n
吵杂,16.912965332005875,neg,2,v
暗处,16.912965332005875,neg,2,d
完美无缺,16.912965332005875,neg,4,i
奔波,16.912965332005875,neg,2,v
